	Sample	GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species
2069	ESS-0068	0	1	0.5483870967741935	0.6035502958579881	0.5853658536585366	47.910714285714285
2070	ESS-0062	0	7	0.5416666666666666	0.6153846153846154	0.5121951219512195	37.65
2071	ESS-0058	0	6	0.5657142857142857	0.5857988165680473	0.4634146341463415	49.61538461538461
2072	ESS-0053	0	4	0.5757575757575758	0.5621301775147929	0.5121951219512195	43.61363636363637
2073	ESS-0044	1	4	0.41353383458646614	0.650887573964497	0.5609756097560976	39.096774193548384
2074	ESS-0039	0	3	0.4805194805194805	0.6568047337278107	0.5609756097560976	34.06382978723404
2075	ESS-0035	0	4	0.5852272727272727	0.6094674556213018	0.4634146341463415	35.60606060606061
2076	ESS-0026	1	1	0.45569620253164556	0.6390532544378699	0.2926829268292683	54.0
2077	ESS-0020	0	7	0.47085201793721976	0.621301775147929	0.3170731707317073	50.5
2078	ESS-0014	0	8	0.4153846153846154	0.6390532544378699	0.5609756097560976	42.51282051282051
2079	ESS-0010	0	5	0.5277777777777778	0.5621301775147929	0.5609756097560976	47.5
2080	ESS-0005	0	9	0.5662650602409639	0.5562130177514792	0.5121951219512195	33.27777777777778
2081	O2_UC1_0	0	0	0.62	0.3668639053254438	0.24390243902439024	27.77777777777778
2082	O2_UC1_2	1	4	0.4623115577889447	0.5443786982248521	0.2926829268292683	39.46774193548387
2083	O2_UC11_0	1	2	0.5736434108527132	0.4378698224852071	0.0975609756097561	35.214285714285715
2084	O2_UC11_2	2	8	0.48148148148148145	0.6153846153846154	0.24390243902439024	46.246153846153845
2085	O2_UC12_0	1	2	0.5287958115183246	0.5976331360946746	0.2682926829268293	35.10526315789474
2086	O2_UC12_2	1	1	0.5343137254901961	0.6449704142011834	0.4146341463414634	43.183673469387756
2087	O2_UC13_0	0	0	0.6203703703703703	0.39644970414201186	0.4634146341463415	25.941176470588236
2088	O2_UC13_2	1	2	0.5073170731707317	0.6153846153846154	0.5609756097560976	42.296875
2089	O2_UC14_0	0	0	0.609375	0.46153846153846156	0.5121951219512195	25.387096774193548
2090	O2_UC14_2	1	4	0.47465437788018433	0.6094674556213018	0.6341463414634146	40.205479452054796
2091	O2_UC16_0	1	0	0.6567164179104478	0.2603550295857988	0.0975609756097561	30.75
2092	O2_UC16_2	1	1	0.5333333333333333	0.5207100591715976	0.5609756097560976	36.094339622641506
2093	O2_UC17_0	0	1	0.6703296703296703	0.3609467455621302	0.5121951219512195	22.923076923076923
2094	O2_UC17_2	2	6	0.5048076923076923	0.621301775147929	0.5609756097560976	50.18333333333333
2095	O2_UC18_0	1	1	0.6204379562043796	0.5029585798816568	0.5121951219512195	34.325
2096	O2_UC18_2	2	0	0.5573770491803278	0.6035502958579881	0.5121951219512195	40.50909090909091
2097	O2_UC19_0	0	6	0.5740740740740741	0.5502958579881657	0.04878048780487805	34.214285714285715
2098	O2_UC19_2	1	9	0.5209302325581395	0.6627218934911243	0.36585365853658536	43.04
2099	O2_UC2_0	2	0	0.5	0.5443786982248521	0.4634146341463415	43.73076923076923
2100	O2_UC2_2	2	4	0.46311475409836067	0.6686390532544378	0.4634146341463415	50.07692307692308
2101	O2_UC20_0	1	1	0.5398773006134969	0.5207100591715976	0.2682926829268293	44.24
2102	O2_UC20_2	1	3	0.5162790697674419	0.6568047337278107	0.3170731707317073	50.48888888888889
2103	O2_UC21_0	1	0	0.631578947368421	0.4260355029585799	0.4146341463414634	29.5
2104	O2_UC21_2	1	3	0.5047619047619047	0.6272189349112426	0.4634146341463415	54.13333333333333
2105	O2_UC22_0	2	0	0.5955882352941176	0.47928994082840237	0.4146341463414634	33.69230769230769
2106	O2_UC22_2	2	6	0.5096153846153846	0.6272189349112426	0.4634146341463415	54.0
2107	O2_UC23_0	0	7	0.4660633484162896	0.6094674556213018	0.4146341463414634	26.585365853658537
2108	O2_UC23_2	2	4	0.4930875576036866	0.6331360946745562	0.5121951219512195	48.15625
2109	O2_UC24_0	1	0	0.6434782608695652	0.4378698224852071	0.2682926829268293	21.9
2110	O2_UC24_2	1	2	0.4553191489361702	0.6331360946745562	0.4634146341463415	37.76056338028169
2111	O2_UC26_0	0	6	0.41379310344827586	0.6390532544378699	0.2682926829268293	69.45454545454545
2112	O2_UC26_2	0	5	0.4251968503937008	0.6390532544378699	0.2682926829268293	56.851851851851855
2113	O2_UC27_0	1	7	0.5508021390374331	0.6094674556213018	0.3170731707317073	45.61224489795919
2114	O2_UC27_2	1	5	0.5434782608695652	0.591715976331361	0.3170731707317073	48.69230769230769
2115	O2_UC29_0	1	0	0.5705128205128205	0.5266272189349113	0.5609756097560976	33.73684210526316
2116	O2_UC29_2	1	3	0.5280898876404494	0.5562130177514792	0.5609756097560976	35.76470588235294
2117	O2_UC3_0	1	7	0.5145631067961165	0.6272189349112426	0.5609756097560976	47.377049180327866
2118	O2_UC3_2	1	7	0.5117370892018779	0.6449704142011834	0.5609756097560976	48.17142857142857
2119	O2_UC30_0	0	10	0.48514851485148514	0.5798816568047337	0.5121951219512195	42.049180327868854
2120	O2_UC30_2	0	2	0.52	0.6153846153846154	0.5609756097560976	48.03448275862069
2121	O2_UC31_0	1	0	0.5048543689320388	0.6153846153846154	0.4634146341463415	44.61290322580645
2122	O2_UC31_2	1	1	0.5097087378640777	0.621301775147929	0.4634146341463415	42.35
2123	O2_UC32_0	1	5	0.5048543689320388	0.6153846153846154	0.5609756097560976	50.07017543859649
2124	O2_UC32_2	1	4	0.5096153846153846	0.6272189349112426	0.5609756097560976	51.867924528301884
2125	O2_UC34_0	1	2	0.527363184079602	0.6272189349112426	0.4634146341463415	45.86440677966102
2126	O2_UC34_2	0	10	0.4864864864864865	0.6390532544378699	0.0975609756097561	53.0
2127	O2_UC35_0	1	2	0.515	0.6094674556213018	0.5609756097560976	48.867924528301884
2128	O2_UC35_2	1	0	0.5291005291005291	0.591715976331361	0.5609756097560976	41.44
2129	O2_UC36_2	0	3	0.5329949238578681	0.621301775147929	0.5609756097560976	50.02
2130	O2_UC37_0	1	9	0.5094339622641509	0.6390532544378699	0.14634146341463414	46.0
2131	O2_UC37_2	1	8	0.4692982456140351	0.6331360946745562	0.14634146341463414	52.55102040816327
2132	O2_UC38_0	0	4	0.4111111111111111	0.6568047337278107	0.4634146341463415	63.77272727272727
2133	O2_UC38_2	0	5	0.41044776119402987	0.650887573964497	0.4634146341463415	61.76086956521739
2134	O2_UC4_0	0	6	0.6261682242990654	0.39644970414201186	0.2682926829268293	23.923076923076923
2135	O2_UC4_2	1	10	0.49065420560747663	0.621301775147929	0.2682926829268293	38.12676056338028
2136	O2_UC40_0	1	2	0.5405405405405406	0.591715976331361	0.6341463414634146	40.857142857142854
2137	O2_UC40_2	1	1	0.5103092783505154	0.5857988165680473	0.6341463414634146	39.205882352941174
2138	O2_UC41_0	0	0	0.5649717514124294	0.591715976331361	0.4634146341463415	45.24561403508772
2139	O2_UC41_2	0	5	0.5235602094240838	0.591715976331361	0.4634146341463415	47.05769230769231
2140	O2_UC43_0	0	2	0.5287356321839081	0.5443786982248521	0.3170731707317073	45.054054054054056
2141	O2_UC43_2	0	1	0.55625	0.5266272189349113	0.3170731707317073	44.5
2142	O2_UC44_0	3	2	0.504950495049505	0.6035502958579881	0.5609756097560976	40.4
2143	O2_UC44_2	2	4	0.5144230769230769	0.6331360946745562	0.5609756097560976	42.861111111111114
2144	O2_UC46_0	0	6	0.521505376344086	0.5739644970414202	0.5609756097560976	51.369565217391305
2145	O2_UC46_2	0	9	0.5024630541871922	0.6035502958579881	0.5609756097560976	46.483333333333334
2146	O2_UC47_0	1	5	0.45714285714285713	0.6627218934911243	0.5609756097560976	43.67796610169491
2147	O2_UC47_2	1	5	0.4538152610441767	0.6686390532544378	0.5121951219512195	36.583333333333336
2148	O2_UC48_0	0	4	0.5079365079365079	0.5680473372781065	0.4146341463414634	43.84126984126984
2149	O2_UC48_2	0	5	0.5	0.6035502958579881	0.5121951219512195	47.26229508196721
2150	O2_UC49_0	0	4	0.5423728813559322	0.5680473372781065	0.5609756097560976	49.270833333333336
2151	O2_UC49_2	0	6	0.5	0.6449704142011834	0.6341463414634146	40.064516129032256
